name,category,variantName,sku,costPrice,sellingPrice,stockQuantity
Indomie Goreng,Mie Instan,85g,SKU-00001,2500,3500,17
Indomie Soto,Minuman,75g,SKU-00002,2500,3500,24
Aqua,Snack,600ml,SKU-00003,2500,4000,31
Teh Botol Sosro,Sembako,450ml,SKU-00004,3500,5000,38
Kopi Kapal Api,Susu,65g,SKU-00005,7000,9500,45
Beras Premium,Kopi & Teh,5kg,SKU-00006,65000,75000,52
Gula Pasir,Bumbu Dapur,1kg,SKU-00007,14500,17000,59
Minyak Goreng,Makanan Kaleng,1L,SKU-00008,17000,20000,66
Susu UHT,Perawatan Diri,1L,SKU-00009,18000,22000,73
Sabun Mandi,Kebersihan,100g,SKU-00010,3500,5000,80
Shampoo,Mie Instan,170ml,SKU-00011,18000,23000,87
Pasta Gigi,Minuman,120g,SKU-00012,11000,15000,94
Biskuit,Snack,120g,SKU-00013,6500,9000,101
Keripik Kentang,Sembako,68g,SKU-00014,9000,12000,108
Sarden Kaleng,Susu,155g,SKU-00015,12000,16000,115
Kecap Manis,Kopi & Teh,600ml,SKU-00016,14000,18000,122
Saus Sambal,Bumbu Dapur,335ml,SKU-00017,10000,14000,129
Tepung Terigu,Makanan Kaleng,1kg,SKU-00018,12000,15000,136
Telur Ayam,Perawatan Diri,1kg,SKU-00019,27000,32000,143
Tisu Wajah,Kebersihan,200 sheets,SKU-00020,9000,13000,150
Indomie Goreng 2,Mie Instan,85g,SKU-00021,2500,3500,157
Indomie Soto 2,Minuman,75g,SKU-00022,2500,3500,164
Aqua 2,Snack,600ml,SKU-00023,2500,4000,171
Teh Botol Sosro 2,Sembako,450ml,SKU-00024,3500,5000,178
Kopi Kapal Api 2,Susu,65g,SKU-00025,7000,9500,185
Beras Premium 2,Kopi & Teh,5kg,SKU-00026,65000,75000,192
Gula Pasir 2,Bumbu Dapur,1kg,SKU-00027,14500,17000,199
Minyak Goreng 2,Makanan Kaleng,1L,SKU-00028,17000,20000,15
Susu UHT 2,Perawatan Diri,1L,SKU-00029,18000,22000,22
Sabun Mandi 2,Kebersihan,100g,SKU-00030,3500,5000,29
Shampoo 2,Mie Instan,170ml,SKU-00031,18000,23000,36
Pasta Gigi 2,Minuman,120g,SKU-00032,11000,15000,43
Biskuit 2,Snack,120g,SKU-00033,6500,9000,50
Keripik Kentang 2,Sembako,68g,SKU-00034,9000,12000,57
Sarden Kaleng 2,Susu,155g,SKU-00035,12000,16000,64
Kecap Manis 2,Kopi & Teh,600ml,SKU-00036,14000,18000,71
Saus Sambal 2,Bumbu Dapur,335ml,SKU-00037,10000,14000,78
Tepung Terigu 2,Makanan Kaleng,1kg,SKU-00038,12000,15000,85
Telur Ayam 2,Perawatan Diri,1kg,SKU-00039,27000,32000,92
Tisu Wajah 2,Kebersihan,200 sheets,SKU-00040,9000,13000,99
Indomie Goreng 3,Mie Instan,85g,SKU-00041,2500,3500,106
Indomie Soto 3,Minuman,75g,SKU-00042,2500,3500,113
Aqua 3,Snack,600ml,SKU-00043,2500,4000,120
Teh Botol Sosro 3,Sembako,450ml,SKU-00044,3500,5000,127
Kopi Kapal Api 3,Susu,65g,SKU-00045,7000,9500,134
Beras Premium 3,Kopi & Teh,5kg,SKU-00046,65000,75000,141
Gula Pasir 3,Bumbu Dapur,1kg,SKU-00047,14500,17000,148
Minyak Goreng 3,Makanan Kaleng,1L,SKU-00048,17000,20000,155
Susu UHT 3,Perawatan Diri,1L,SKU-00049,18000,22000,162
Sabun Mandi 3,Kebersihan,100g,SKU-00050,3500,5000,169
Shampoo 3,Mie Instan,170ml,SKU-00051,18000,23000,176
Pasta Gigi 3,Minuman,120g,SKU-00052,11000,15000,183
Biskuit 3,Snack,120g,SKU-00053,6500,9000,190
Keripik Kentang 3,Sembako,68g,SKU-00054,9000,12000,197
Sarden Kaleng 3,Susu,155g,SKU-00055,12000,16000,13
Kecap Manis 3,Kopi & Teh,600ml,SKU-00056,14000,18000,20
Saus Sambal 3,Bumbu Dapur,335ml,SKU-00057,10000,14000,27
Tepung Terigu 3,Makanan Kaleng,1kg,SKU-00058,12000,15000,34
Telur Ayam 3,Perawatan Diri,1kg,SKU-00059,27000,32000,41
Tisu Wajah 3,Kebersihan,200 sheets,SKU-00060,9000,13000,48
Indomie Goreng 4,Mie Instan,85g,SKU-00061,2500,3500,55
Indomie Soto 4,Minuman,75g,SKU-00062,2500,3500,62
Aqua 4,Snack,600ml,SKU-00063,2500,4000,69
Teh Botol Sosro 4,Sembako,450ml,SKU-00064,3500,5000,76
Kopi Kapal Api 4,Susu,65g,SKU-00065,7000,9500,83
Beras Premium 4,Kopi & Teh,5kg,SKU-00066,65000,75000,90
Gula Pasir 4,Bumbu Dapur,1kg,SKU-00067,14500,17000,97
Minyak Goreng 4,Makanan Kaleng,1L,SKU-00068,17000,20000,104
Susu UHT 4,Perawatan Diri,1L,SKU-00069,18000,22000,111
Sabun Mandi 4,Kebersihan,100g,SKU-00070,3500,5000,118
Shampoo 4,Mie Instan,170ml,SKU-00071,18000,23000,125
Pasta Gigi 4,Minuman,120g,SKU-00072,11000,15000,132
Biskuit 4,Snack,120g,SKU-00073,6500,9000,139
Keripik Kentang 4,Sembako,68g,SKU-00074,9000,12000,146
Sarden Kaleng 4,Susu,155g,SKU-00075,12000,16000,153
Kecap Manis 4,Kopi & Teh,600ml,SKU-00076,14000,18000,160
Saus Sambal 4,Bumbu Dapur,335ml,SKU-00077,10000,14000,167
Tepung Terigu 4,Makanan Kaleng,1kg,SKU-00078,12000,15000,174
Telur Ayam 4,Perawatan Diri,1kg,SKU-00079,27000,32000,181
Tisu Wajah 4,Kebersihan,200 sheets,SKU-00080,9000,13000,188
Indomie Goreng 5,Mie Instan,85g,SKU-00081,2500,3500,195
Indomie Soto 5,Minuman,75g,SKU-00082,2500,3500,11
Aqua 5,Snack,600ml,SKU-00083,2500,4000,18
Teh Botol Sosro 5,Sembako,450ml,SKU-00084,3500,5000,25
Kopi Kapal Api 5,Susu,65g,SKU-00085,7000,9500,32
Beras Premium 5,Kopi & Teh,5kg,SKU-00086,65000,75000,39
Gula Pasir 5,Bumbu Dapur,1kg,SKU-00087,14500,17000,46
Minyak Goreng 5,Makanan Kaleng,1L,SKU-00088,17000,20000,53
Susu UHT 5,Perawatan Diri,1L,SKU-00089,18000,22000,60
Sabun Mandi 5,Kebersihan,100g,SKU-00090,3500,5000,67
Shampoo 5,Mie Instan,170ml,SKU-00091,18000,23000,74
Pasta Gigi 5,Minuman,120g,SKU-00092,11000,15000,81
Biskuit 5,Snack,120g,SKU-00093,6500,9000,88
Keripik Kentang 5,Sembako,68g,SKU-00094,9000,12000,95
Sarden Kaleng 5,Susu,155g,SKU-00095,12000,16000,102
